Name,Team,Nac.,Age,Height,Preffoot,Position,Number,ValuePlayer,matchesTotal,matchesStarting,minutesPerGame,goals,goalsFrequency,goalsAverage,totalShotsPerGame,bigChanceMissed,assists,touches,bigChanceCreated,keyPasses,accuratePassesPerGame,successfulPassesOwnHalf,successfulPassesOppositionHalf,successfulLongPasses,accurateChippedPasses,successfulCrossesAndCorners,interceptionsPerGame,tacklesPerGame,possessionWonFinalThird,challengesLostPerGame,totalClearancesPerGame,errorLeadToAShot,errorLeadToaGoal,penaltiesConceded,successfulDribblesPerGame,duelsWonPerGame,groundDuelsWonPerGame,aerialDuelsWonPerGame,possessionLost,fouls,wasFouled,offsides,yellowCards,yellowRedCards,redCards
sergio-escudero,Sevilla,ESP,30,176 cm,Left,D,18,6.2M €,6,4,69,0,0.0,0.5,0,0,64.0,1,0.7,31.7 (78%),18.2 (83%),13.5 (66%),1.5 (35%),1.8 (39%),0.0 (0%),1.5,3.2,0.3,1.0,3.2,0,0,1,0.2 (33%),6.8 (63%),4.0 (59%),2.8 (71%),13.3,1.3,0.7,0.0,2,0,0,
sergi-gomez,Sevilla,ESP,28,185 cm,Right,D,3,4.8M €,8,5,62,0,0.0,0.0,0,0,47.0,0,0.0,36.0 (87%),27.4 (92%),8.6 (74%),3.3 (54%),1.1 (50%),0.0 (0%),0.5,0.6,0.3,0.0,2.8,0,0,0,0.1 (100%),2.5 (53%),0.8 (60%),1.8 (50%),5.5,0.5,0.0,0.0,2,0,0,
jesus-navas,Sevilla,ESP,34,170 cm,Right,D,16,3.8M €,27,27,90,0,0.0,0.2,0,4,80.8,7,1.6,43.0 (80%),19.1 (85%),25.5 (67%),2.9 (44%),2.0 (47%),1.6 (24%),0.7,0.7,0.6,0.4,1.6,0,0,0,1.2 (64%),3.0 (48%),2.5 (54%),0.4 (31%),19.1,0.5,0.7,0.0,4,0,0,
tomas-vaclik,Sevilla,CZE,31,188 cm,Right,G,1,17M €,26,26,88,0,0.0,0.0,0,0,31.5,0,0.0,15.3 (65%),12.6 (85%),2.7 (31%),5.2 (39%),1.0 (49%),0.0 (0%),0.0,0.0,0.0,0.0,0.6,0,0,0,0.0 (0%),0.3 (78%),0.0 (50%),0.2 (86%),8.4,0.0,0.1,0.0,0,0,0,
bono,Sevilla,MAR,29,192 cm,Left,G,13,4.8M €,2,1,68,0,0.0,0.0,0,0,23.5,0,0.0,11.5 (66%),7.5 (100%),4.0 (40%),6.0 (50%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.0,0.0,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),6.0,0.0,0.0,0.0,0,0,0,
javier-diaz,Sevilla,ESP,22,182 cm,Right,G,31,515K €,1,1,90,0,0.0,0.0,0,0,26.0,0,0.0,11.0 (52%),9.0 (75%),2.0 (22%),3.0 (23%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.0,0.0,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),10.0,0.0,0.0,0.0,0,0,0,
hatem-ben-arfa,Real Valladolid,FRA,33,178 cm,Left,F,3,4.7M €,2,0,13,0,0.0,0.0,0,0,13.5,0,0.5,4.0 (62%),1.5 (75%),2.5 (56%),0.5 (100%),0.5 (50%),0.0 (0%),0.0,0.0,0.0,0.5,0.0,0,0,0,3.0 (75%),3.0 (46%),3.0 (46%),0.0 (0%),5.5,0.5,0.0,0.0,1,0,0,
enes-unal,Real Valladolid,TUR,22,185 cm,Right,F,9,3.9M €,24,17,71,4,429 min,0.2,1.4,8,2,32.1,3,0.9,12.6 (65%),3.9 (80%),8.9 (59%),0.7 (67%),0.6 (56%),0.1 (38%),0.3,0.5,0.2,0.8,0.3,0,0,0,0.9 (65%),6.9 (45%),3.0 (45%),3.9 (45%),11.5,1.3,1.9,0.6,2,0,0
sandro-ramirez,Real Valladolid,ESP,24,175 cm,Right,F,20,3.7M €,19,13,57,3,362 min,0.2,1.6,5,1,26.5,3,0.5,10.1 (74%),3.9 (85%),6.6 (62%),0.6 (75%),0.4 (58%),0.4 (27%),0.3,0.6,0.2,0.7,0.1,0,0,0,0.8 (47%),3.6 (48%),3.1 (50%),0.5 (42%),8.5,0.8,1.8,0.3,2,0,0
sergi-guardiola,Real Valladolid,ESP,28,185 cm,Right,F,7,3.1M €,25,24,82,6,343 min,0.2,1.3,5,2,34.6,3,0.5,14.1 (70%),4.6 (83%),9.6 (61%),0.7 (56%),0.7 (56%),0.1 (7%),0.2,0.4,0.3,0.6,0.5,1,0,0,1.3 (58%),4.4 (39%),3.4 (45%),1.1 (28%),12.2,1.4,1.7,0.6,5,0,0
