Name,Team,Nac.,Age,Height,Preffoot,Position,Number,ValuePlayer,matchesTotal,matchesStarting,minutesPerGame,goals,goalsFrequency,goalsAverage,totalShotsPerGame,bigChanceMissed,assists,touches,bigChanceCreated,keyPasses,accuratePassesPerGame,successfulPassesOwnHalf,successfulPassesOppositionHalf,successfulLongPasses,accurateChippedPasses,successfulCrossesAndCorners,interceptionsPerGame,tacklesPerGame,possessionWonFinalThird,challengesLostPerGame,totalClearancesPerGame,errorLeadToAShot,errorLeadToaGoal,penaltiesConceded,successfulDribblesPerGame,duelsWonPerGame,groundDuelsWonPerGame,aerialDuelsWonPerGame,possessionLost,fouls,wasFouled,offsides,yellowCards,yellowRedCards,redCards
zouhair-feddal,Real Betis,MAR,30,191 cm,Left,D,4,4.5M €,10,10,85,0,0.0,0.3,0,1,70.9,0,0.2,49.8 (85%),37.3 (95%),12.5 (64%),4.9 (49%),3.7 (51%),0.0 (0%),1.7,1.4,0.0,0.3,5.2,0,0,0,0.3 (100%),4.4 (56%),2.4 (65%),2.0 (49%),9.6,1.4,0.7,0.0,7,0,1,
javi-garcia,Real Betis,ESP,33,187 cm,Right,D,3,2.1M €,4,2,69,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joel-robles,Real Betis,ESP,29,195 cm,Right,G,1,8.1M €,26,26,87,0,0.0,0.0,0,0,39.8,0,0.0,22.1 (70%),19.4 (89%),2.7 (28%),5.3 (36%),2.1 (55%),0.0 (0%),0.0,0.0,0.0,0.0,0.6,0,1,0,0.0 (0%),0.2 (71%),0.0 (33%),0.2 (100%),9.6,0.0,0.0,0.0,3,0,1,
dani-martin,Real Betis,ESP,21,186 cm,Right,G,13,2.7M €,2,1,85,0,0.0,0.0,0,0,32.5,0,0.0,15.5 (65%),13.5 (84%),2.0 (25%),5.0 (40%),5.0 (63%),0.0 (0%),0.0,0.0,0.0,0.0,0.5,0,0,0,0.0 (0%),0.5 (100%),0.0 (0%),0.5 (100%),8.5,0.0,0.0,0.0,0,0,0,
daniel-rebollo,Betis Deportivo Balompié,ESP,20,G,30,None,None,None,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
eden-hazard,Real Madrid,BEL,29,173 cm,Both,F,7,129M €,10,9,75,1,747 min,0.1,1.1,2,1,59.1,2,1.4,33.2 (85%),7.0 (83%),26.5 (83%),1.5 (79%),0.8 (67%),0.3 (20%),0.4,0.5,0.4,0.9,0.0,0,0,0,3.9 (72%),8.5 (58%),7.9 (58%),0.6 (55%),13.5,1.1,3.5,0.2,0,0,0
rodrygo,Real Madrid,BRA,19,174 cm,Right,F,27,53M €,12,8,55,2,333 min,0.2,0.8,2,0,38.4,2,0.9,22.5 (89%),5.3 (91%),17.8 (82%),0.4 (71%),0.7 (67%),0.7 (29%),0.7,0.3,0.3,1.3,0.2,0,0,0,1.0 (48%),2.7 (36%),2.4 (41%),0.3 (18%),8.6,0.6,1.1,0.1,0,0,0
vinicius-junior,Real Madrid,BRA,19,176 cm,Right,F,25,52M €,19,8,47,2,451 min,0.1,1.3,4,1,30.2,3,0.9,13.8 (80%),2.8 (87%),11.3 (73%),0.2 (67%),0.2 (38%),0.3 (19%),0.1,0.6,0.5,0.8,0.0,0,0,0,1.9 (49%),3.6 (46%),3.5 (46%),0.1 (40%),8.8,0.7,0.9,0.3,3,0,0
karim-benzema,Real Madrid,FRA,32,184 cm,Both,F,9,41M €,26,25,85,14,159 min,0.5,3.2,13,6,47.1,7,1.7,28.8 (85%),6.5 (88%),22.3 (82%),1.4 (82%),1.0 (73%),0.0 (0%),0.2,0.5,0.5,0.2,0.9,0,1,0,1.0 (58%),2.9 (46%),1.8 (43%),1.1 (52%),9.9,0.6,0.4,0.7,0,0,0
luka-jovic,Real Madrid,SRB,22,181 cm,Both,F,18,41M €,4,1,29,0,0.0,0.5,1,0,14.0,0,0.3,6.8 (71%),3.3 (87%),3.5 (61%),1.3 (100%),0.5 (100%),0.0 (0%),0.0,0.3,0.3,0.3,0.5,0,0,0,0.5 (100%),2.3 (39%),1.0 (44%),1.3 (36%),4.8,0.5,0.3,0.0,0,0,0,
marco-asensio,Real Madrid,ESP,24,180 cm,Left,F,20,41M €,4,3,70,0,0.0,2.8,1,1,63.0,2,1.0,40.8 (89%),3.0 (92%),39.0 (83%),0.8 (43%),1.3 (63%),1.3 (28%),0.0,0.3,0.8,0.8,0.0,0,0,0,1.8 (50%),2.0 (32%),2.0 (33%),0.0 (0%),12.3,0.5,0.0,0.3,0,0,0,
gareth-bale,Real Madrid,WAL,30,183 cm,Left,F,11,37M €,14,11,71,2,496 min,0.1,1.9,4,2,43.5,2,1.0,22.4 (80%),7.6 (86%),15.4 (69%),1.4 (54%),1.5 (58%),0.6 (20%),0.4,0.5,0.3,0.8,0.4,0,0,0,1.2 (61%),4.3 (51%),2.4 (43%),1.9 (68%),12.4,1.1,0.7,0.3,3,1,0
lucas-vazquez,Real Madrid,ESP,28,173 cm,Right,F,17,22M €,14,6,46,2,320 min,0.1,0.4,1,1,38.4,4,1.0,19.8 (82%),8.1 (86%),12.4 (71%),0.9 (59%),0.9 (57%),0.8 (27%),0.5,1.1,0.7,0.7,0.4,1,0,0,1.1 (62%),3.3 (45%),3.1 (47%),0.1 (22%),10.4,1.4,0.9,0.1,1,0,0
mariano-diaz,Real Madrid,DOM,26,182 cm,Right,F,24,15.3M €,2,0,12,1,23 min,0.5,2.0,0,0,7.0,0,0.5,2.5 (83%),0.5 (100%),2.0 (80%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.0,0.0,0,0,0,0.5 (50%),1.5 (60%),0.5 (50%),1.0 (67%),1.5,0.0,0.0,0.0,0,0,0
casemiro,Real Madrid,BRA,28,185 cm,Right,M,14,64M €,25,25,89,3,740 min,0.1,1.0,1,2,78.6,2,0.4,51.0 (84%),25.4 (89%),25.8 (78%),6.3 (72%),5.1 (63%),0.2 (26%),2.1,3.3,0.9,2.2,1.8,0,0,0,0.8 (87%),8.6 (56%),5.6 (52%),3.0 (64%),12.0,2.6,1.6,0.1,8,0,0
toni-kroos,Real Madrid,GER,30,183 cm,Both,M,8,58M €,24,23,78,3,626 min,0.1,1.4,1,5,81.6,7,2.1,62.7 (94%),23.2 (96%),40.7 (86%),7.0 (87%),5.4 (79%),1.1 (25%),0.7,1.6,0.8,1.7,0.3,0,0,0,0.7 (77%),4.3 (56%),3.8 (56%),0.5 (58%),9.1,0.6,1.5,0.0,1,0,0
isco,Real Madrid,ESP,27,176 cm,Right,M,22,52M €,16,11,55,1,875 min,0.06,0.9,1,0,47.1,2,1.1,31.1 (88%),8.9 (89%),22.5 (82%),1.2 (54%),1.3 (62%),0.3 (14%),0.2,0.7,0.4,0.6,0.1,1,0,0,1.6 (76%),3.9 (53%),3.4 (57%),0.4 (33%),9.2,0.6,1.2,0.3,1,0,0
federico-valverde,Real Madrid,URU,21,181 cm,Right,M,15,49M €,22,14,58,2,633 min,0.09,0.7,3,4,41.4,6,0.7,28.0 (87%),9.1 (86%),19.0 (86%),1.5 (68%),0.9 (63%),0.1 (18%),0.9,1.1,0.5,0.6,0.5,2,0,0,0.7 (71%),3.0 (52%),2.1 (49%),0.9 (61%),6.8,0.7,0.3,0.0,1,0,0
james-rodriguez,Real Madrid,COL,28,180 cm,Left,M,16,39M €,7,4,49,1,345 min,0.1,1.1,1,1,44.4,4,2.0,27.1 (82%),9.0 (89%),19.0 (73%),2.4 (68%),2.7 (66%),0.9 (27%),0.4,1.7,0.3,0.7,0.1,0,0,0,0.1 (100%),3.0 (55%),2.6 (60%),0.4 (38%),9.9,0.7,0.9,0.3,1,0,0
reinier,Real Madrid,BRA,18,185 cm,Right,M,19,23M €,14,8,51,6,118 min,0.4,1.2,5,2,25.3,2,0.7,12.1 (79%),2.4 (87%),9.9 (74%),0.1 (50%),0.4 (60%),0.1 (18%),0.3,1.2,0.4,0.5,0.1,0,0,0,0.6 (80%),2.9 (46%),2.3 (52%),0.6 (32%),6.9,0.9,0.5,0.0,1,0,0
luka-modric,Real Madrid,CRO,34,173 cm,Both,M,10,16.4M €,22,14,62,3,452 min,0.1,0.7,0,4,56.5,2,1.5,39.0 (89%),15.0 (92%),24.5 (83%),3.4 (79%),2.3 (69%),0.5 (26%),0.8,1.1,0.9,1.0,0.3,0,0,0,1.0 (61%),3.3 (45%),2.8 (46%),0.5 (40%),9.8,0.9,0.6,0.0,3,0,1
brahim-diaz,Real Madrid,ESP,20,170 cm,Both,M,21,15.6M €,3,1,43,1,130 min,0.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raphael-varane,Real Madrid,FRA,26,191 cm,Right,D,5,72M €,23,23,90,2,1035 min,0.09,0.3,1,1,60.7,0,0.1,43.4 (87%),31.0 (93%),12.4 (74%),4.5 (59%),2.3 (51%),0.0 (0%),0.9,1.2,0.2,0.3,4.0,0,0,0,0.3 (67%),4.6 (68%),1.7 (63%),2.8 (71%),7.4,0.6,0.3,0.0,2,0,0
daniel-carvajal,Real Madrid,ESP,28,173 cm,Right,D,2,48M €,22,22,90,1,1980 min,0.05,0.5,2,5,95.2,7,1.7,57.9 (86%),26.1 (90%),32.7 (78%),3.2 (63%),3.1 (56%),0.9 (23%),1.3,2.3,0.5,0.7,0.9,0,0,0,0.8 (49%),5.2 (53%),4.0 (53%),1.3 (52%),16.1,1.6,0.9,0.1,8,0,0
eder-militao,Real Madrid,BRA,22,186 cm,Right,D,3,47M €,9,7,71,0,0.0,0.1,0,0,56.9,0,0.2,37.9 (87%),26.7 (91%),11.3 (77%),2.4 (50%),1.0 (50%),0.1 (50%),1.8,1.9,0.0,0.6,3.0,0,0,0,0.0 (0%),6.3 (66%),3.0 (57%),3.3 (75%),7.7,1.3,1.3,0.2,2,0,0,
ferland-mendy,Real Madrid,FRA,24,178 cm,Left,D,23,37M €,16,12,72,0,0.0,0.4,1,1,64.2,3,0.9,34.3 (86%),14.6 (88%),20.3 (76%),2.1 (64%),1.8 (70%),0.6 (19%),1.1,1.4,0.4,0.2,1.0,0,0,0,1.9 (67%),5.3 (60%),4.2 (59%),1.1 (64%),12.9,1.1,0.9,0.1,5,1,0,
marcelo,Real Madrid,BRA,31,174 cm,Left,D,12,18.9M €,11,11,85,0,0.0,0.9,0,2,84.1,2,2.1,51.1 (85%),16.4 (92%),36.0 (77%),3.5 (63%),2.9 (53%),1.3 (28%),1.1,0.8,0.7,1.4,1.3,0,0,0,1.3 (74%),3.9 (56%),3.3 (54%),0.6 (70%),15.2,0.5,1.2,0.0,2,0,0,
sergio-ramos,Real Madrid,ESP,34,184 cm,Right,D,4,17.5M €,25,25,89,5,444 min,0.2,1.0,3,0,72.1,0,0.1,55.5 (91%),33.0 (93%),22.5 (87%),6.3 (72%),4.0 (70%),0.0 (0%),1.4,1.5,0.1,0.7,3.0,2,2,1,0.3 (88%),4.7 (55%),2.5 (54%),2.2 (56%),6.5,1.5,0.8,0.2,7,0,0
nacho-fernandez,Real Madrid,ESP,30,180 cm,Right,D,6,16.3M €,3,2,67,1,202 min,0.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thibaut-courtois,Real Madrid,BEL,27,199 cm,Left,G,13,53M €,24,24,90,0,0.0,0.0,0,0,33.0,0,0.0,17.2 (74%),15.9 (93%),1.3 (21%),2.8 (32%),0.3 (33%),0.0 (0%),0.0,0.0,0.0,0.1,0.6,0,0,0,0.0 (0%),0.3 (75%),0.1 (50%),0.2 (100%),6.3,0.0,0.1,0.0,0,0,0,
alphonse-areola,Real Madrid,FRA,27,195 cm,Right,G,1,14.8M €,3,3,90,0,0.0,0.0,0,0,34.0,0,0.0,20.3 (79%),18.3 (93%),2.0 (33%),5.0 (50%),1.3 (36%),0.0 (0%),0.0,0.0,0.0,0.0,0.3,0,0,1,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),5.7,0.3,0.0,0.0,1,0,0,
willian-jose,Real Sociedad,BRA,28,189 cm,Right,F,9,33M €,26,18,56,9,161 min,0.3,1.2,11,0,21.4,0,0.5,10.9 (72%),3.7 (83%),7.2 (66%),0.7 (68%),0.5 (50%),0.0 (0%),0.0,0.2,0.3,0.2,0.4,0,0,0,0.2 (40%),1.8 (41%),0.8 (32%),1.0 (53%),6.6,0.8,0.5,0.4,4,0,0
alexander-isak,Real Sociedad,SWE,20,190 cm,Right,F,19,26M €,27,9,39,7,151 min,0.3,1.1,6,1,14.1,3,0.4,5.4 (73%),1.7 (90%),3.9 (67%),0.0 (25%),0.2 (60%),0.1 (43%),0.1,0.2,0.2,0.2,0.2,0,0,0,0.4 (58%),1.6 (35%),0.9 (31%),0.7 (42%),5.1,0.6,0.3,0.4,3,0,0
julen-lobete,Real Sociedad B,ESP,19,F,35,1M €,None,None,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
mikel-oyarzabal,Real Sociedad,ESP,22,181 cm,Left,M,10,64M €,26,25,83,8,270 min,0.3,1.5,4,6,46.8,9,1.3,21.2 (77%),7.3 (84%),14.4 (67%),1.2 (69%),0.5 (50%),0.5 (18%),0.4,1.0,0.4,0.8,0.5,0,1,0,2.2 (70%),5.8 (48%),4.6 (52%),1.2 (38%),14.2,1.1,1.4,0.4,3,0,0
martin-odegaard,Real Sociedad,NOR,21,178 cm,Left,M,21,55M €,23,22,87,4,503 min,0.2,1.3,0,5,72.1,9,2.5,45.0 (85%),15.0 (91%),31.2 (77%),2.0 (68%),1.6 (45%),1.2 (30%),0.5,0.9,1.1,1.1,0.1,0,0,0,2.4 (62%),5.0 (48%),4.6 (50%),0.3 (30%),16.3,1.0,1.3,0.0,3,0,0
igor-zubeldia,Real Sociedad,ESP,23,180 cm,Right,M,5,32M €,24,22,83,0,0.0,0.2,0,1,65.0,1,0.2,47.6 (88%),32.6 (93%),15.0 (79%),2.5 (51%),0.8 (35%),0.0 (17%),0.6,1.5,0.2,0.6,2.8,2,0,2,0.6 (88%),5.0 (50%),2.8 (52%),2.3 (48%),7.9,1.7,0.8,0.0,7,0,0,
mikel-merino,Real Sociedad,ESP,23,188 cm,Left,M,8,21M €,26,25,87,3,751 min,0.1,0.8,0,1,71.2,2,1.0,40.9 (77%),17.3 (89%),23.7 (69%),2.3 (58%),2.3 (55%),0.2 (21%),1.5,2.2,0.8,1.6,1.4,0,0,0,1.0 (63%),10.6 (56%),5.3 (48%),5.3 (66%),16.9,2.1,2.3,0.0,4,0,0
asier-illarramendi,Real Sociedad,ESP,30,179 cm,Right,M,4,18.6M €,3,3,72,0,0.0,0.3,0,0,68.3,0,0.3,55.0 (92%),24.3 (94%),30.7 (90%),3.3 (71%),2.7 (62%),0.0 (0%),1.7,0.7,0.7,1.3,2.0,0,0,0,0.0 (0%),3.0 (50%),1.7 (42%),1.3 (67%),6.0,0.7,1.0,0.0,0,0,0,
portu,Real Sociedad,ESP,27,178 cm,Right,M,7,16.2M €,24,19,74,7,254 min,0.3,0.9,4,8,30.4,8,1.2,12.3 (72%),3.2 (74%),9.9 (62%),0.2 (38%),0.5 (43%),0.8 (24%),0.3,0.9,0.5,0.6,0.1,0,0,0,0.4 (48%),2.7 (37%),2.0 (42%),0.6 (28%),10.8,1.0,0.7,0.6,5,0,0
adnan-januzaj,Real Sociedad,BEL,25,186 cm,Left,M,11,13.1M €,17,9,48,2,407 min,0.1,0.6,1,3,29.5,4,0.9,11.3 (68%),2.8 (79%),9.0 (60%),1.2 (62%),0.8 (65%),0.5 (25%),0.1,0.5,0.4,0.8,0.1,0,0,0,1.3 (48%),3.5 (43%),3.2 (45%),0.2 (25%),11.3,1.1,1.5,0.1,2,0,0
ander-barrenetxea,Real Sociedad,ESP,18,174 cm,Right,M,22,9.5M €,12,1,19,1,225 min,0.08,0.7,0,0,13.5,0,0.6,5.6 (83%),1.5 (82%),4.3 (75%),0.2 (25%),0.2 (40%),0.2 (22%),0.2,0.5,0.0,0.3,0.1,0,0,1,0.8 (53%),1.5 (35%),1.5 (38%),0.0 (0%),4.3,0.8,0.3,0.1,0,0,0
ander-guevara,Real Sociedad,ESP,22,180 cm,Right,M,16,8.1M €,14,11,67,0,0.0,0.1,0,0,57.3,0,0.4,40.6 (84%),22.5 (91%),18.2 (78%),1.8 (51%),1.6 (48%),0.1 (100%),0.6,1.9,0.3,1.3,1.0,1,0,0,0.8 (85%),4.1 (45%),3.1 (44%),1.1 (45%),9.2,1.9,0.4,0.0,4,0,0,
luca-sangalli,Real Sociedad,ESP,25,167 cm,M,23,None,2.7M €,11,5,35,0,0.0,0.5,1,1,22.2,2,0.8,12.8 (76%),4.8 (78%),8.2 (73%),0.4 (50%),0.3 (30%),0.2 (33%),0.1,0.1,0.2,0.6,0.0,0,0,0,0.5 (67%),2.1 (53%),1.3 (47%),0.8 (69%),6.1,0.1,0.6,0.0,0,0,0,
david-zurutuza,Real Sociedad,ESP,33,184 cm,Right,M,17,2.1M €,4,1,26,0,0.0,0.0,0,0,18.0,0,0.0,9.8 (74%),6.3 (86%),3.5 (56%),0.5 (33%),0.5 (67%),0.0 (0%),0.8,0.8,0.0,0.3,0.8,0,0,0,0.0 (0%),1.5 (32%),0.8 (38%),0.8 (27%),4.5,0.3,0.0,0.0,0,0,0,
roberto-lopez,Real Sociedad B,ESP,19,178 cm,Left,M,10,970K €,1,0,28,0,0.0,0.0,0,0,7.0,0,0.0,1.0 (33%),1.0 (33%),0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),1.0,0.0,0.0,1.0,2.0,0,0,0,0.0 (0%),1.0 (25%),0.0 (0%),1.0 (50%),2.0,1.0,0.0,0.0,0,0,0,
diego-llorente,Real Sociedad,ESP,26,185 cm,Right,D,3,26M €,19,19,85,0,0.0,0.3,3,1,69.4,1,0.2,51.7 (87%),39.7 (91%),12.0 (76%),3.0 (47%),2.3 (50%),0.0 (0%),1.1,1.0,0.1,0.3,3.9,3,1,0,0.2 (80%),4.3 (60%),1.8 (62%),2.5 (59%),8.6,0.8,0.6,0.2,3,1,0,
joseba-zaldua,Real Sociedad,ESP,27,176 cm,Right,D,2,11.2M €,24,23,86,0,0.0,0.2,0,2,66.5,2,0.5,31.0 (77%),16.5 (83%),15.2 (65%),1.0 (25%),0.8 (31%),0.8 (23%),1.4,1.8,0.3,0.8,2.3,0,0,1,0.6 (48%),6.4 (63%),4.2 (61%),2.2 (67%),14.4,1.3,2.0,0.0,6,0,0,
aritz-elustondo,Real Sociedad,ESP,26,178 cm,Right,D,6,10.8M €,13,11,72,0,0.0,0.2,1,1,49.8,2,0.2,32.1 (81%),23.4 (89%),8.7 (64%),2.8 (50%),1.6 (58%),0.0 (0%),0.7,1.5,0.1,0.6,3.4,0,0,0,0.0 (0%),5.2 (64%),1.9 (64%),3.3 (64%),8.4,0.4,0.5,0.0,1,0,0,
aihen-munoz,Real Sociedad,ESP,22,175 cm,Left,D,12,5.2M €,8,7,78,0,0.0,0.0,0,0,62.3,0,0.1,31.5 (81%),18.4 (90%),13.9 (64%),0.3 (9%),0.8 (19%),0.8 (21%),0.3,2.5,0.6,0.8,1.3,0,0,0,0.3 (33%),4.6 (56%),3.0 (56%),1.6 (57%),14.6,0.5,0.3,0.0,0,0,0,
robin-le-normand,Real Sociedad,FRA,23,187 cm,Right,D,24,4.8M €,21,16,74,1,1552 min,0.05,0.2,0,0,59.8,0,0.0,45.7 (88%),34.6 (94%),11.1 (74%),2.6 (51%),1.0 (38%),0.0 (0%),0.4,1.4,0.0,0.3,3.3,0,0,1,0.0 (0%),4.4 (61%),1.9 (63%),2.5 (60%),6.6,0.9,0.6,0.0,5,0,0
nacho-monreal,Real Sociedad,ESP,34,178 cm,Left,D,20,3.7M €,20,20,88,2,878 min,0.1,0.5,2,0,60.0,2,0.6,31.4 (83%),17.3 (89%),14.7 (71%),0.8 (33%),0.4 (32%),0.6 (27%),1.6,1.3,0.3,0.7,2.1,0,0,0,0.4 (64%),4.0 (48%),2.2 (49%),1.8 (47%),11.0,1.3,0.6,0.1,1,0,0
andoni-gorosabel,Real Sociedad,ESP,23,174 cm,Right,D,18,1.9M €,6,4,64,0,0.0,0.2,0,0,49.3,0,0.3,22.2 (75%),8.8 (74%),13.8 (70%),1.2 (39%),0.3 (67%),0.5 (25%),1.3,1.5,0.0,0.7,1.0,0,0,0,0.7 (100%),4.0 (50%),3.0 (60%),1.0 (33%),11.8,0.5,0.8,0.0,0,0,0,
jon-pacheco-dozagarat,Real Sociedad B,ESP,19,184 cm,Left,D,6,205K €,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
imanol-ezkurdia,Real Sociedad B,ESP,21,D,24,190K €,None,None,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
alex-remiro,Real Sociedad,ESP,25,191 cm,Right,G,1,8M €,20,20,90,0,0.0,0.0,0,0,42.3,0,0.0,25.2 (73%),21.1 (91%),4.2 (36%),7.7 (45%),2.3 (59%),0.0 (0%),0.0,0.0,0.0,0.1,1.5,0,1,0,0.0 (0%),0.5 (90%),0.1 (67%),0.4 (100%),9.5,0.0,0.2,0.0,0,0,0,
miguel-angel-moya,Real Sociedad,ESP,36,189 cm,Right,G,13,1.5M €,7,7,90,0,0.0,0.0,0,0,45.3,0,0.0,26.3 (76%),22.6 (93%),3.7 (36%),8.9 (52%),2.1 (63%),0.0 (0%),0.1,0.0,0.0,0.0,1.0,1,0,0,0.1 (100%),0.4 (100%),0.1 (100%),0.3 (100%),8.4,0.0,0.0,0.0,0,0,0,
sergi-enrich,Eibar,ESP,30,181 cm,Right,F,9,3.1M €,20,17,72,1,1449 min,0.05,0.8,2,3,29.1,3,0.4,14.0 (72%),4.4 (85%),9.6 (67%),0.4 (73%),0.3 (75%),0.0 (0%),0.4,0.7,0.6,0.8,0.4,0,0,0,0.4 (70%),6.0 (36%),1.8 (31%),4.2 (39%),8.8,2.6,0.9,0.8,4,0,0
kike,Eibar,ESP,30,186 cm,Right,F,17,3.1M €,17,12,64,3,365 min,0.2,1.5,3,0,30.5,1,0.5,12.3 (65%),2.6 (75%),9.7 (61%),0.2 (33%),0.4 (43%),0.1 (13%),0.1,0.4,0.6,0.4,0.3,0,0,0,0.2 (31%),5.6 (38%),1.4 (28%),4.2 (43%),11.7,1.9,0.8,0.6,2,0,0
charles-dias,Eibar,BRA,36,179 cm,Right,F,19,1.5M €,21,9,45,5,190 min,0.2,0.7,1,0,17.6,0,0.3,7.7 (66%),2.5 (80%),5.3 (60%),0.1 (60%),0.2 (50%),0.0 (50%),0.1,0.3,0.3,0.5,0.3,0,0,0,0.0 (33%),3.5 (40%),1.0 (32%),2.4 (45%),5.8,1.4,0.7,0.2,6,0,0
quique,Eibar,ESP,29,175 cm,Left,F,7,1.1M €,11,3,34,0,0.0,0.6,0,1,14.5,0,0.4,6.0 (71%),2.3 (93%),3.8 (61%),0.2 (67%),0.1 (100%),0.1 (33%),0.0,0.2,0.2,0.0,0.2,0,0,0,0.4 (57%),3.5 (46%),1.4 (56%),2.1 (42%),4.5,0.7,1.0,0.2,0,0,0,
gonzalo-escalante,Eibar,ARG,27,182 cm,Right,M,5,3.7M €,20,15,70,0,0.0,0.9,1,1,40.2,2,0.5,19.4 (70%),6.7 (80%),12.8 (64%),1.3 (45%),1.2 (38%),0.2 (20%),1.2,2.1,0.3,0.8,0.6,0,0,0,0.7 (74%),6.7 (54%),3.9 (57%),2.9 (49%),10.9,1.4,1.3,0.1,6,1,0,
edu-exposito,Eibar,ESP,23,175 cm,Right,M,10,3.6M €,25,16,64,2,796 min,0.08,0.5,0,1,33.8,1,0.6,21.0 (84%),7.9 (90%),13.2 (79%),2.0 (72%),1.2 (71%),0.1 (20%),0.9,1.3,0.5,0.8,0.6,0,0,0,0.6 (64%),3.2 (45%),2.3 (48%),0.8 (38%),6.4,0.7,0.4,0.0,3,0,0
takashi-inui,Eibar,JPN,31,170 cm,Right,M,22,2.8M €,20,18,74,1,1479 min,0.05,1.2,3,3,34.5,1,0.9,15.7 (80%),4.9 (87%),10.9 (70%),0.4 (47%),0.4 (53%),0.2 (9%),0.7,0.9,1.0,0.9,0.4,0,0,0,0.9 (50%),3.0 (37%),2.7 (40%),0.3 (23%),9.8,1.3,1.1,0.2,2,0,0
sergio-alvarez,Eibar,ESP,28,182 cm,Right,M,6,2.2M €,11,9,64,0,0.0,0.1,0,0,34.1,0,0.4,18.6 (70%),7.9 (76%),10.7 (66%),2.6 (45%),1.7 (48%),0.0 (0%),1.0,1.6,0.1,0.9,1.2,0,1,1,0.5 (100%),4.0 (51%),2.7 (60%),1.3 (39%),8.3,0.9,0.5,0.0,4,0,0,
fabian-orellana,Eibar,CHI,34,168 cm,Right,M,14,2.1M €,24,24,87,7,298 min,0.3,1.3,3,6,57.6,7,1.7,24.8 (77%),6.3 (87%),19.8 (68%),1.5 (62%),1.3 (51%),1.3 (30%),0.8,1.0,1.1,1.3,0.0,0,0,0,2.6 (52%),6.1 (40%),5.5 (42%),0.7 (29%),19.8,0.8,1.9,0.4,8,0,1
pedro-leon,Eibar,ESP,33,182 cm,Right,M,21,1.9M €,23,18,64,1,1476 min,0.04,1.0,2,0,34.8,2,1.3,12.0 (67%),3.3 (79%),10.0 (52%),0.6 (30%),0.8 (46%),1.4 (24%),0.8,1.0,0.3,0.6,0.2,0,0,0,0.7 (68%),3.3 (44%),2.2 (46%),1.1 (42%),14.0,0.7,0.6,0.3,3,0,0
sebastian-cristoforo,Eibar,URU,26,174 cm,Right,M,18,1.5M €,7,3,46,0,0.0,0.1,0,0,27.1,0,0.4,13.7 (77%),4.7 (89%),9.0 (69%),1.1 (53%),1.1 (57%),0.0 (0%),0.4,2.0,0.6,0.6,0.0,0,0,0,0.4 (100%),4.6 (65%),3.6 (64%),1.0 (70%),5.7,1.0,1.3,0.1,0,0,0,
papakouli-diop,Eibar,SEN,34,178 cm,Right,M,8,1.4M €,21,19,79,1,1654 min,0.05,0.6,0,0,38.7,0,0.5,20.8 (75%),8.3 (87%),12.5 (68%),1.9 (50%),1.1 (40%),0.0 (17%),1.3,1.2,0.7,1.0,1.1,0,0,0,0.1 (20%),4.6 (47%),2.5 (41%),2.1 (56%),9.4,1.8,1.3,0.0,6,0,0
miguel-mari,Eibar,ESP,23,185 cm,Right,M,27,None,2,0,34,0,0.0,0.5,0,0,24.5,0,0.0,18.0 (90%),6.5 (93%),11.5 (88%),1.0 (100%),1.5 (75%),0.0 (0%),0.5,0.0,0.5,1.0,1.0,0,0,0,0.0 (0%),1.0 (25%),0.5 (20%),0.5 (33%),2.5,0.5,0.5,0.0,0,0,0,
alberto-mari,Eibar,ESP,18,Right,M,None,None,None,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
paulo-oliveira,Eibar,POR,28,187 cm,Right,D,12,5.5M €,19,17,84,1,1590 min,0.05,0.3,0,0,43.5,1,0.1,23.1 (69%),14.2 (85%),8.9 (53%),4.2 (40%),2.5 (45%),0.1 (50%),1.6,1.2,0.0,0.4,3.5,0,1,0,0.1 (67%),5.3 (65%),2.0 (63%),3.3 (65%),10.7,0.8,0.7,0.0,6,1,0
